,bacterium,abundance
0,Lactobacillus,0.5551667249912513
1,Atopobium,0.3864670299455082
2,Ureaplasma,0.023171524271359295
4,Ligilactobacillus,0.00509923511473279
5,Prevotella,0.0029495575663650454
6,Dialister,0.0025246213068039793
7,Corynebacterium,0.0018497225416187573
8,Bacteroides,0.0014247862820576914
9,Veillonella,0.0011998200269959507
10,Ruminococcus,0.0006748987651852222
11,Streptococcus,0.0006249062640603909
12,Limosilactobacillus,0.0005749137629355597
13,Gardnerella,0.00042493625956106584
14,Finegoldia,0.0003749437584362346
15,Escherichia-Shigella,0.0003749437584362346
16,Turicibacter,0.0003749437584362346
17,Faecalibacterium,0.0003249512573114033
18,Megasphaera,0.0002999550067489877
19,Anaerococcus,0.0002999550067489877
