,bacterium,abundance
0,Lactobacillus,0.9781575228061159
1,Megasphaera,0.015289734035718875
2,Aerococcus,0.002505460619298471
3,Atopobium,0.0014133367596042656
4,Prevotella,0.0007066683798021328
6,Ligilactobacillus,0.0003533341899010664
7,Fastidiosipila,0.00028909160991905434
8,Streptococcus,0.00025697031992804833
9,Dialister,0.00012848515996402416
10,Gemella,9.636386997301812e-05
11,Peptoniphilus,6.424257998201208e-05
12,Gardnerella,3.212128999100604e-05
13,Corynebacterium,3.212128999100604e-05
14,Mycoplasma,3.212128999100604e-05
15,Holdemanella,3.212128999100604e-05
16,Anaerococcus,3.212128999100604e-05
17,Pediococcus,3.212128999100604e-05
18,Limosilactobacillus,3.212128999100604e-05
19,Mobiluncus,3.212128999100604e-05
