,bacterium,abundance
0,Lactobacillus,0.9834352876486356
1,Limosilactobacillus,0.01140971888102275
3,Staphylococcus,0.00027493298508488555
4,Finegoldia,0.00020619973881366417
5,Ramlibacter,0.00013746649254244277
6,Streptococcus,0.00013746649254244277
7,Bacillus,0.00013746649254244277
8,Ligilactobacillus,6.873324627122139e-05
9,Polaromonas,6.873324627122139e-05
10,Mobiluncus,6.873324627122139e-05
11,Parvimonas,6.873324627122139e-05
12,Corynebacterium,6.873324627122139e-05
13,Companilactobacillus,6.873324627122139e-05
14,Dyadobacter,6.873324627122139e-05
