,Lactobacillus,Streptococcus,Anaerococcus,Peptoniphilus,Prevotella,Finegoldia,Campylobacter,Peptostreptococcus,Bacteroides,Dialister,Escherichia-Shigella,Porphyromonas,Actinotignum,Holdemanella,Ezakiella,Actinomyces,Flavobacterium,Corynebacterium,Mobiluncus,Limosilactobacillus,Murdochiella,Facklamia,Faecalibacterium,Staphylococcus,Bacillus,Limnohabitans,Fluviicola,Catenibacterium,Clostridium sensu stricto 1,Cutibacterium,Stenotrophomonas,Ureaplasma,Aerococcus,Atopobium,Gardnerella,Prevotella_7,Tabrizicola,Fenollaria,Fusobacterium,W5053,Gemella,Ligilactobacillus,Prevotella_9,Blautia,UCG-002,UCG-005,Mitsuokella,Coprococcus,[Eubacterium] hallii group,Veillonella,Haemophilus,Enterococcus,Micrococcus,Varibaculum,Levilactobacillus,Paracoccus,Subdoligranulum,Alistipes,Acidovorax,Erysipelotrichaceae UCG-003,[Eubacterium] siraeum group,Bifidobacterium,Rufibacter,Pseudohongiella,Fusicatenibacter,Butyricicoccus,Rickettsiella,Parabacteroides,Ramlibacter,Polaromonas,Parvimonas,Companilactobacillus,Dyadobacter,Brevibacterium,Pyramidobacter,Lawsonella,Megasphaera,Acidaminococcus,Fungi,Lactiplantibacillus,Megamonas,Sutterella,Reyranella,Fastidiosipila,Virgibacillus,Ferritrophicum,Sneathia,CL500-29 marine group,Mycoplasma,Methylobacterium-Methylorubrum,Polynucleobacter,Novosphingobium,Malikia,Aggregatibacter,Xanthobacter,Tessaracoccus,Rhodobacter,Pseudarcicella,Burkholderia-Caballeronia-Paraburkholderia,Capnocytophaga,Pseudomonas,Blastococcus,Solirubrobacter,Mycobacterium,Achromobacter,Gordonia,Alloprevotella,Cloacibacterium,Ureibacillus,Hyphomicrobium,Gallicola,Lacticaseibacillus,Sulfuritalea,Cyanobium PCC-6307,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Acinetobacter,Arcanobacterium,Mageeibacillus,Granulicatella,Pediococcus,Cohnella,Paenibacillus,Rhodoferax,Acetobacter,Lachnospiraceae NK4A136 group,Helcococcus,Nocardioides,Chryseobacterium,Arenimonas,Gaiella,Rikenellaceae RC9 gut group,Bradyrhizobium,Bauldia,Collinsella,Lactococcus,Spirochaeta,Ruminococcus,Roseburia,Methylotenera,Peptococcus,Olsenella,Pelomonas,[Agitococcus] lubricus group,1174-901-12,Bergeyella,Enhydrobacter,Slackia,Solobacterium,Pleurocapsa PCC-7319,Deinococcus,Planococcus,Anoxybacillus,Phenylobacterium,Microbacterium,Pseudoalteromonas,Lysinibacillus,JGI 0001001-H03,Aeromonas,Massilia,Alloscardovia,Simplicispira,Fretibacterium,Tannerella,Psychrobacter,Paeniglutamicibacter,Treponema,Bosea,Lachnospira,Intestinibacter,Oligoflexus,Brevundimonas,Sphingomonas,Halalkalibacillus,Comamonas,Tepidimonas,Sphingobacterium,Geobacillus,OLB8,Legionella,Ethanoligenens,Iamia,Tepidiphilus,Rothia,Yersinia,Latilactobacillus,Altererythrobacter,Kingella,Turicibacter,Globicatella,Tolumonas,Howardella,Candidatus Aquiluna,Xanthomonas,Dermabacter,NK4A214 group,Hymenobacter,[Ruminococcus] torques group,Lachnoclostridium,Kocuria,hgcI clade,Streptomyces,Pseudonocardia,Shuttleworthia,Ralstonia,Moraxella,Thermomonas,Buttiauxella,Arthrobacter,Actinoplanes,S5-A14a,Christensenellaceae R-7 group,Sphingobium,Mucilaginibacter,Pseudopropionibacterium,Haliangium,Brachybacterium,Rhodococcus,Thiobacillus,Rivicola,Choanozoa,Rhodoluna,Desulfatirhabdium,Paludibacter,Cellvibrio,Leptothrix,Friedmanniella,Azospirillum,Citrobacter
104,0.182702930190962,0.443316323846599,0.221605555263296,0.044531537692672,0.042348361302541,0.011968015150718,0.0083381556105,0.005208059340312,0.002288389710137,0.002156873060129,0.001788626440107,0.001262559840076,0.001157346520069,0.001104739860066,0.00099952654006,0.000946919880057,0.000920616550055,0.000920616550055,0.000868009890052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 M267,0.996363636363636,0,0.000158102766798,0.000158102766798,0.000316205533597,0.000395256916996,7.90513833992095E-05,0,0,0,0,7.90513833992095E-05,0,0,0,7.90513833992095E-05,0,0,0,0.001343873517787,0.000158102766798,7.90513833992095E-05,7.90513833992095E-05,7.90513833992095E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0.981888370105893,9.15499404925387E-05,0.000381458085386,0.00016784155757,0.001541090664958,0.000259391498062,0,0,0,0.002273490188898,0,0,6.10332936616925E-05,0,0,6.10332936616925E-05,0.000106808263908,0.000122066587323,0,0.011779425676707,0,0,0,0,7.62916170771156E-05,6.10332936616925E-05,6.10332936616925E-05,4.57749702462693E-05,4.57749702462693E-05,3.05166468308462E-05,3.05166468308462E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0.953327265372168,0.00219963592233,0.002300768608414,0.000632079288026,0.003868325242718,0.00073321197411,0,0,0,0.000429813915858,0,0,0,0,0,0,0.000834344660194,0.000176982200647,0.000176982200647,0.002553600323625,0,0,0,0,0,0.000278114886731,0,0,0,0.000126415857605,0,0.026269215210356,0.001491707119741,0.000227548543689,0.000176982200647,0.000151699029126,0.000151699029126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.983734015345268,0.000281329923274,0.002173913043478,0.001764705882353,0.005626598465473,0.000613810741688,0.000281329923274,0,0,0.000690537084399,5.1150895140665E-05,0,0,0,0.000102301790281,0,0.000102301790281,0,0.000306905370844,0,0,0,0,0,0,0,0,0,0,7.67263427109974E-05,0,7.67263427109974E-05,0,0.000332480818414,0,0,0,0.00076726342711,0.000179028132992,7.67263427109974E-05,7.67263427109974E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0.010509383378016,0.007908847184987,0.016300268096515,0.018552278820375,0.032627345844504,0,0,0,0.012734584450402,0,0,0,0.013163538873995,0,0,0.009892761394102,0.041903485254692,0,0,0,0,0.025093833780161,0,0,0,0,0,0,0,0,0,0,0,0.0628418230563,0,0,0,0,0,0,0.162064343163539,0.122627345844504,0.017828418230563,0.012412868632708,0.01201072386059,0.009946380697051,0.007747989276139,0.006648793565684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0.187372558653728,0.723768578798673,0.001252917332023,0.000761577201818,0.000663309175777,0.003070875813782,0,0.002284731605454,0,0.000442206117185,0.000245670065103,0,0,0,0,0,0.000343938091144,0,0,0,0,0,0,7.37010195307702E-05,9.82680260410269E-05,7.37010195307702E-05,0,0,0.011939565163985,0,0,0.047193219506203,0.000712443188797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007468369979118,0.001007247266921,9.82680260410269E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0.959682492137187,0.01204133592931,0.001048375018721,0.001887075033698,0.003474614347761,0,0.002935450052419,0.000748839299086,0,0.000329489291598,8.98607158903699E-05,0,0.001887075033698,0,0,0.001917028605661,0,0,0,0,0,0,0,0,0.000149767859817,0,0,0,0,0.005002246517897,0.004642803654336,0,0,0.000269582147671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001407817882282,0.000718885727123,0.000509210723379,0.000119814287854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0.984595528539906,0.000104084266622,0,0.00018735167992,0.000437153919813,0.000166534826596,0,0,0.000249802239893,0,0,0,0,0,0,0,0.000228985386569,0.000603688746409,0.000104084266622,0.001290644906116,0,0,0.000104084266622,0,0,0,0,0,0,0.000208168533245,0,0.008430825596403,0,0,0,0,0,0.00018735167992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000291435946542,8.32674132978059E-05,8.32674132978059E-05,8.32674132978059E-05,8.32674132978059E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.974775946805435,0.009757155247181,0.000397513732293,0.000433651344319,0.00498699045967,0.001662330153223,0,0,0,0.000469788956346,0,0,0,0,0,0.000433651344319,0.001156403584851,0.001084128360798,0,0,0,0,0,0.000180688060133,7.22752240531946E-05,0.000505926568372,0,0,0,0,0,0,0,0,0,0,0.00010841283608,0,0,0,0,0.000686614628505,0,0,0,0,0,0,0,0.000144550448106,0,0,0,0,0,0,0,0,0,0,0,0.000144550448106,7.22752240531946E-05,7.22752240531946E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
